journey,conversion_flg,counts
Appetizers > added_item > Menu > added_item > Drinks > added_item > CheckoutViewController,true,14
added_item > Dessert > CheckoutViewController,true,14
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,14
Quick_Reorder > Kids Menu > added_item > CheckoutViewController,true,14
Kids Menu > added_item > Menu > added_item > CheckoutViewController,true,13
viewed_favourite_store > Sauces & Sides > added_item > CheckoutViewController,true,13
Family Value Bundles > added_item > CheckoutActivity,true,13
Family Value Bundles > added_item > CheckoutViewController,true,13
viewed_favourite_store > Appetizers > added_item > Appetizers > CheckoutViewController,true,13
Appetizers > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,13
viewed_favourite_store > Menu > added_item > Drinks > added_item > Drinks > added_item > CheckoutViewController,true,13
viewed_favourite_store > Appetizers > added_item > Drinks > CheckoutViewController,true,13
added_item > Appetizers > CheckoutActivity,true,13
Menu > added_item > Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,13
Menu > added_item > Menu > Appetizers > Menu > added_item > CheckoutActivity,true,13
viewed_favourite_store > added_item > Menu > Appetizers > added_item > CheckoutViewController,true,13
viewed_favourite_store > Menu > added_item > Dessert > CheckoutViewController,true,13
Appetizers > added_item > Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,13
Quick_Reorder > Dessert > added_item > CheckoutViewController,true,13
Sauces & Sides > added_item > CheckoutActivity,true,13
viewed_favourite_store > Menu > added_item > Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,13
Appetizers > added_item > Menu > Appetizers > added_item > CheckoutViewController,true,13
Appetizers > added_item > Menu > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,12
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > CheckoutViewController,true,12
Dessert > added_item > Dessert > added_item > CheckoutViewController,true,12
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,12
viewed_favourite_store > Menu > Kids Menu > added_item > CheckoutViewController,true,12
Appetizers > added_item > Menu > added_item > Sauces & Sides > added_item > CheckoutActivity,true,12
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,12
Appetizers > added_item > Menu > added_item > Dessert > added_item > CheckoutActivity,true,12
added_item > Kids Menu > added_item > Appetizers > added_item > CheckoutActivity,true,12
Appetizers > added_item > Menu > Appetizers > added_item > CheckoutActivity,true,12
viewed_favourite_store > added_item > Appetizers > CheckoutViewController,true,12
Menu > Appetizers > Menu > added_item > Menu > added_item > CheckoutViewController,true,12
viewed_favourite_store > Appetizers > added_item > Dessert > added_item > CheckoutViewController,true,12
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,12
Appetizers > added_item > Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,12
viewed_favourite_store > Menu > added_item > Kids Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,12
Menu > added_item > Menu Extras > added_item > CheckoutActivity,true,12
Appetizers > added_item > Appetizers > added_item > Appetizers > CheckoutViewController,true,12
added_item > Appetizers > added_item > Appetizers > added_item > CheckoutActivity,true,12
