journey,conversion_flg,counts
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > PV: Entrees > CheckoutActivity,false,18
ProductListActivity > PV: Kids Menu > ProductListActivity,false,18
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,18
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Dessert > ProductActivity > CheckoutActivity,false,18
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController,false,18
ProductListActivity > PV: Appetizers > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,17
ProductListActivity > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,17
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Kids Menu > ProductActivity > CheckoutActivity,false,17
GuidedMenuViewController > PV: Kids Menu > ProductViewController > GuidedMenuViewController,false,17
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity,false,17
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuestCheckoutTableViewController,false,17
GuidedMenuViewController > ProductViewController > GuidedMenuViewController > ProductViewController,false,17
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,17
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity,false,16
ProductListActivity > PV: Entrees > ProductListActivity > ProductActivity > CheckoutActivity,false,16
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,16
ProductActivity > ProductListActivity > PV: Kids Menu > ProductActivity > CheckoutActivity,false,16
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > ProductViewController,false,16
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Drinks > ProductActivity > CheckoutActivity,false,16
GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees,false,16
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > CheckoutActivity,false,16
GuidedMenuViewController > PV:  Menu > GuidedMenuViewController > PV:  Menu,false,16
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,16
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > PV: Entrees > CheckoutActivity,false,16
StoreTableViewController > GuidedMenuViewController > PV: Viewed Family Value Bundles > GuidedMenuViewController,false,15
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Drinks > ProductActivity > CheckoutActivity,false,15
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Drinks,false,15
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,15
ProductListActivity > PV: Kids Menu > ProductActivity > ProductListActivity > PV: Kids Menu > ProductActivity > CheckoutActivity,false,15
ProductListActivity > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,15
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Appetizers,false,15
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController,false,15
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers,false,15
StoreTableViewController > GuidedMenuViewController > PV: Drinks > GuidedMenuViewController,false,15
ProductListActivity > PV: Dessert > ProductListActivity,false,15
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController,false,15
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > BasketViewController,false,15
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Menu Extras > ProductViewController,false,15
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,15
StoreTableViewController > GuidedMenuViewController > PV: Kids Menu > GuidedMenuViewController,false,15
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees,false,15
StoreTableViewController > GuidedMenuViewController > PV: Entrees > StoreTableViewController > GuidedMenuViewController > PV: Entrees,false,14
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > BasketViewController,false,14
ProductListActivity > PV: Kids Menu > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,14
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Kids Menu > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,14
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Menu Extras > ProductActivity > CheckoutActivity,false,14
PV: Entrees,false,14
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > BasketViewController,false,13
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController,false,13
ProductListActivity > PV: Drinks > ProductActivity > CheckoutActivity,false,13
GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,13
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Menu Extras > ProductActivity > CheckoutActivity,false,13
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Kids Menu > ProductActivity > CheckoutActivity,false,13
ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,13
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,13
GuidedMenuViewController > ProductViewController > GuidedMenuViewController > PV: Entrees,false,13
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Drinks > ProductActivity > CheckoutActivity,false,13
ProductListActivity > ProductActivity > ProductListActivity > CheckoutActivity,false,13
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController,false,13
StoreTableViewController > GuidedMenuViewController > ProductViewController > StoreTableViewController,false,13
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,13
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > CheckoutActivity,false,13
ProductListActivity > PV: Menu Extras > ProductListActivity,false,12
GuidedMenuViewController > PV: Kids Menu > ProductViewController,false,12
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Entrees,false,12
GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController,false,12
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,12
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,12
GuidedMenuViewController > StoreTableViewController,false,12
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > BasketViewController,false,12
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Dessert,false,12
