journey,conversion_flg,counts
Appetizers > added_item > Menu > added_item > Appetizers,false,7
viewed_favourite_store > Drinks > Menu > Drinks,false,7
Appetizers > added_item > Menu > added_item > Appetizers > added_item > Appetizers > added_item,false,7
Drinks > Menu > Appetizers > Menu,false,7
Sauces & Sides > Appetizers > Menu,false,7
viewed_favourite_store > Appetizers > added_item > Sauces & Sides > added_item,false,7
viewed_favourite_store > added_item > Dessert,false,7
viewed_favourite_store > Menu > added_item > Appetizers > Menu,false,7
viewed_favourite_store > Drinks > Dessert,false,7
Drinks > added_item > Drinks > added_item,false,7
viewed_favourite_store > Quick_Reorder > viewed_favourite_store > Menu,false,7
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Appetizers > added_item,false,6
added_item > Appetizers > added_item > Menu > added_item,false,6
Kids Menu > Appetizers > Menu,false,6
viewed_favourite_store > Appetizers > added_item > Drinks > added_item,false,6
viewed_favourite_store > Appetizers > Menu Extras > Menu,false,6
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Menu > added_item,false,6
Appetizers > added_item > Menu > added_item > Dessert > added_item,false,6
viewed_favourite_store >  > Menu,false,6
Menu > added_item > Menu > Sauces & Sides > added_item,false,6
Drinks > added_item > Drinks > added_item > Drinks,false,6
Appetizers > Menu > Family Value Bundles,false,6
Kids Menu > added_item > Appetizers > added_item,false,6
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Appetizers,false,6
viewed_favourite_store > Sauces & Sides > Menu > Appetizers,false,6
Appetizers > added_item > Appetizers > added_item > Drinks > added_item,false,6
viewed_favourite_store > added_item > viewed_favourite_store > added_item,false,6
viewed_favourite_store > Appetizers > added_item > Kids Menu > added_item,false,6
Menu > Sauces & Sides > Kids Menu,false,6
Quick_Reorder > viewed_favourite_store > Appetizers > added_item > Menu,false,6
Menu > added_item > Menu > added_item > Menu > added_item > Menu,false,6
Menu > added_item > Menu > added_item > Drinks > added_item > Drinks > added_item,false,6
viewed_favourite_store > Menu > added_item > Kids Menu > added_item,false,6
viewed_favourite_store > Appetizers > Menu > ,false,6
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item,false,6
viewed_favourite_store > Kids Menu > Menu > Appetizers,false,6
viewed_favourite_store > Menu > Sauces & Sides > Menu > Appetizers,false,6
Appetizers > Menu > Sauces & Sides > Menu > Appetizers,false,6
Family Value Bundles > ,false,6
viewed_favourite_store > Menu > Appetizers > Drinks,false,6
Menu > added_item > Kids Menu > Menu,false,6
Appetizers > added_item > Appetizers > added_item > Sauces & Sides > added_item,false,6
added_item > Menu > Appetizers,false,6
Quick_Reorder > Drinks > Menu,false,6
Dessert > Kids Menu,false,6
Appetizers > Menu > Appetizers > added_item > Appetizers > added_item,false,6
Quick_Reorder > Kids Menu,false,6
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu,false,6
viewed_favourite_store > Drinks > Menu > Appetizers,false,6
Menu > added_item > Menu > added_item > Dessert,false,6
 > Family Value Bundles,false,6
Appetizers > Sauces & Sides > Menu > Appetizers,false,6
viewed_favourite_store > Menu > Kids Menu > Menu > Appetizers,false,6
Menu > Appetizers > Menu > added_item > Menu > added_item,false,6
Menu > Dessert > Appetizers > Menu,false,6
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Appetizers,false,6
viewed_favourite_store > Appetizers > Menu > Kids Menu > Menu,false,6
Quick_Reorder > Menu > added_item > Menu,false,6
Sauces & Sides > Dessert > Menu > Appetizers,false,6
Kids Menu > added_item > Kids Menu > added_item > Menu,false,6
Appetizers > Menu > Sauces & Sides > Dessert,false,6
Dessert > Sauces & Sides > Menu,false,6
Menu > added_item > Appetizers > added_item > Appetizers,false,6
Menu > added_item > Menu > added_item > Appetizers > added_item > Appetizers > added_item,false,6
viewed_favourite_store > added_item > Appetizers > added_item > Appetizers > added_item,false,6
viewed_favourite_store > Menu > viewed_favourite_store > Menu > added_item,false,6
Drinks > Dessert > Menu,false,5
Drinks > Kids Menu > Menu,false,5
Quick_Reorder > Appetizers > added_item > Menu > added_item,false,5
Kids Menu > added_item > Kids Menu > added_item,false,5
Appetizers > Menu > Appetizers > Menu > Appetizers > Menu,false,5
Appetizers > Menu > Drinks > Dessert,false,5
Kids Menu > added_item > Kids Menu,false,5
viewed_favourite_store > Appetizers > added_item > Menu Extras > added_item,false,5
Menu > added_item > Appetizers > added_item > Appetizers > added_item > Menu > added_item,false,5
viewed_favourite_store > Appetizers > Menu > added_item > Menu,false,5
Quick_Reorder > Dessert > added_item,false,5
Appetizers > added_item > Menu > added_item > Sauces & Sides > added_item,false,5
Kids Menu > Menu > Appetizers > Menu,false,5
added_item > Sauces & Sides > Menu,false,5
Menu > Sauces & Sides > ,false,5
viewed_favourite_store > Menu > viewed_favourite_store > Menu > viewed_favourite_store > Menu,false,5
viewed_favourite_store > Menu > added_item > Menu > Appetizers > added_item,false,5
Appetizers > added_item > Menu > Drinks,false,5
Menu > viewed_favourite_store,false,5
Appetizers > added_item > Appetizers > Menu > added_item,false,5
Kids Menu > Menu > Drinks,false,5
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Menu,false,5
Quick_Reorder > viewed_favourite_store > Menu > added_item > Appetizers > added_item,false,5
Menu > Family Value Bundles > added_item,false,5
Quick_Reorder > viewed_favourite_store > Menu > Sauces & Sides,false,5
Menu > Drinks > Sauces & Sides,false,5
Appetizers > added_item > Menu > added_item > Menu > added_item > Appetizers,false,5
Appetizers > added_item > Sauces & Sides > added_item > Sauces & Sides > added_item,false,5
Drinks > Menu > added_item,false,5
Quick_Reorder > viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item,false,5
viewed_favourite_store > Menu > Dessert > Appetizers,false,5
Menu > Drinks > Sauces & Sides > Menu,false,5
Appetizers > added_item > Sauces & Sides,false,5
 > Drinks,false,5
Appetizers > Menu > Appetizers > added_item,false,5
Kids Menu > Menu > Kids Menu,false,5
viewed_favourite_store > Appetizers > Menu Extras,false,5
Menu > added_item > Menu > added_item > Appetizers > added_item > Menu > added_item,false,5
viewed_favourite_store > Kids Menu > added_item > Menu > added_item,false,5
Menu > added_item > Menu Extras > added_item,false,5
viewed_favourite_store > Menu > added_item > Menu > added_item > Drinks > added_item,false,5
viewed_favourite_store > Menu Extras > Appetizers,false,5
Appetizers > added_item > Kids Menu,false,5
Menu Extras > Menu > Appetizers > Menu,false,5
viewed_favourite_store > Appetizers > Quick_Reorder,false,5
 > Appetizers > Menu,false,5
Quick_Reorder > Menu > added_item > Menu > added_item > Menu > added_item,false,5
Menu > Appetizers > Menu > Menu Extras,false,5
Appetizers > added_item > Menu > added_item > Dessert,false,5
Drinks > added_item > Appetizers,false,5
added_item > Appetizers > Menu,false,5
viewed_favourite_store > added_item > Quick_Reorder,false,5
viewed_favourite_store >  > added_item >  > added_item,false,5
Menu > Kids Menu > Appetizers > Menu,false,5
viewed_favourite_store > Appetizers > added_item > Sauces & Sides,false,5
viewed_favourite_store > Menu > Appetizers > Menu > Appetizers > Menu,false,5
Menu > Sauces & Sides > Dessert,false,5
Quick_Reorder > viewed_favourite_store > Menu > Quick_Reorder,false,5
Sauces & Sides > Drinks,false,5
added_item > Appetizers > added_item > Menu,false,5
Menu > Sauces & Sides > Menu > Sauces & Sides,false,5
Appetizers > added_item > Sauces & Sides > Menu,false,5
Menu > Appetizers > Kids Menu > Menu,false,5
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item,false,5
viewed_favourite_store > Menu > added_item > Menu > added_item > Quick_Reorder,false,5
Menu >  > Sauces & Sides > Menu,false,5
Menu > Appetizers > Menu > Kids Menu > Menu,false,5
Menu > added_item > Appetizers > Sauces & Sides > added_item,false,5
Menu > added_item > Drinks > Menu > added_item,false,5
Sauces & Sides > Kids Menu,false,5
Appetizers > Menu > added_item > Appetizers,false,5
Dessert > added_item > Dessert,false,5
added_item > Menu > Appetizers > Menu,false,5
Appetizers > Menu > added_item > Menu,false,5
Quick_Reorder > Sauces & Sides,false,5
added_item > Kids Menu > Menu,false,5
Menu > Appetizers > added_item > Menu,false,5
viewed_favourite_store > Appetizers > Menu > viewed_favourite_store,false,4
Dessert > Sauces & Sides,false,4
